"Day1" "Day2" "Day3" "Day4" "Day5" "Day6" "Day7" "Day8" "Day9" "Day10" "Day11" "Day12" "Day13" "Day14" "Day15" "Day16" "Day17" "Day18" "Day19" "Day20" "Day21" "Day22" "Day23" "Day24" "Day25" "Day26" "Day27" "Day28" "Day29" "Day30" "Day31" "Day32" "Day33" "Day34" "Day35" "Day36" "Day37" "Day38" "Day39" "Day40" "Day41" "Day42" "Day43" "Day44" "Day45" "Day46" "Day47" "Day48" "Day49" "Day50" "Day51" "Day52" "Day53" "Day54" "Day55" "Day56" "Day57" "Day58" "Day59" "Day60" "Day61" "Day62" "Day63" "Day64" "Day65" "Day66" "Day67" "Day68" "Day69" "Day70" "Day71" "Day72" "Day73" "Day74" "Day75" "Day76" "Day77" "Day78" "Day79" "Day80" "Day81" "Day82" "Day83" "Day84" "Day85" "Day86" "Day87" "Day88" "Day89" "Day90" "Day91" "Day92" "Day93" "Day94" "Day95" "Day96" "Day97" "Day98" "Day99" "Day100"
"Fish16" 1 NA NA NA NA NA NA 7 7 NA NA 7 NA NA 8 NA NA 9 NA NA NA 10 10 NA NA NA 10 NA NA NA 10 NA NA NA NA 10 NA NA 10 NA NA NA NA NA NA 10 NA NA 8 8 NA 4 NA NA NA NA NA NA 1 1 NA 1 NA NA 6 7 8 NA 8 8 NA NA NA NA 10 NA 10 NA 10 10 10 NA 10 10 NA NA NA NA NA 10 NA 10 9 NA NA NA NA NA 1 1
"Fish17" 1 2 4 5 5 NA NA 8 NA NA NA 9 9 NA NA NA NA NA NA NA NA NA NA NA NA 10 10 NA NA NA NA NA NA NA NA 9 NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA 1 1 1 1 NA 1 1 NA NA NA 1 NA NA NA NA NA NA NA 1 1 NA NA NA NA 2 3 4 NA NA 5 NA NA NA 6 NA NA 6 NA NA NA NA NA NA NA 7 NA NA NA NA
"Fish18" 1 2 NA NA 6 NA NA NA 6 NA NA NA NA NA NA NA NA NA NA NA 1 1 NA NA 1 NA NA NA NA NA NA 1 NA 1 NA 1 NA 1 NA NA NA NA 1 NA 1 1 NA 1 NA NA NA NA NA NA NA NA NA 1 1 NA 1 1 NA 1 NA 1 NA NA NA NA NA 1 NA NA 1 NA 1 1 1 NA 1 NA NA NA NA NA 7 NA NA NA 7 NA NA NA NA NA NA NA 10 NA
"Fish19" 1 1 NA NA 4 NA NA NA 9 9 10 NA NA 10 10 NA NA NA NA 10 NA 10 NA NA NA 10 NA 10 NA NA NA NA NA NA NA NA NA NA NA NA NA 4 3 NA 1 NA 1 NA NA NA NA NA NA NA NA NA NA 1 NA 1 NA NA 1 1 NA 1 NA NA 1 NA 1 1 1 NA NA NA NA NA NA NA NA 3 NA 1 NA NA 1 NA NA 1 NA NA 1 1 NA NA 1 NA 1 NA
"Fish20" 1 2 NA 4 NA NA NA NA NA NA 6 NA NA 6 6 NA NA 6 6 NA NA 6 NA 6 6 6 6 6 NA NA NA NA 7 7 NA NA NA NA 8 NA NA 9 NA 10 NA 10 NA 10 NA NA NA NA NA NA NA 10 NA NA NA 10 NA NA NA NA 10 10 NA 10 NA 10 NA 10 NA NA NA NA 10 NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA 1 NA NA 1 1
"Fish21" 1 NA NA NA NA NA NA 7 NA NA 7 NA 7 7 NA 7 NA NA 7 NA 7 NA NA NA NA 8 NA NA 10 10 NA NA 10 10 NA NA NA NA NA NA NA 10 NA NA NA 10 NA 10 NA 10 NA 10 NA NA NA NA NA NA NA 10 NA NA 10 NA NA 10 NA NA 10 NA NA 10 NA NA 10 NA 10 10 NA 9 NA 6 3 1 NA NA 1 NA 2 5 7 NA NA NA 7 NA NA 7 NA NA
"Fish22" 1 NA 2 NA 6 NA 6 NA NA NA 7 7 7 NA NA NA 7 NA NA NA NA NA 9 9 10 10 9 NA NA 4 NA NA 1 1 NA 1 NA 1 1 NA NA NA NA 1 1 NA NA 1 NA 1 NA 1 NA NA 1 1 1 NA 1 NA NA NA 1 1 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA NA 1 NA NA NA NA NA NA 1 1 NA NA NA 1 NA NA NA 1 1 1 NA NA
"Fish23" 1 NA NA NA NA NA NA NA 2 NA NA NA 1 1 NA 1 NA NA NA NA NA NA NA NA 1 NA NA NA 1 NA NA NA 1 NA NA 1 NA NA 1 1 1 NA NA 1 NA 1 NA NA NA NA NA NA NA NA NA 1 NA 1 NA NA NA NA NA NA 1 NA NA NA NA 5 8 NA 8 NA NA NA NA NA NA NA 10 NA NA NA 10 10 NA NA 10 NA NA NA 10 NA NA 7 NA NA 1 NA
"Fish24" 1 NA NA NA 5 NA NA NA 7 NA NA 7 NA 7 NA NA NA NA NA 10 NA 10 10 NA NA 10 NA NA 10 NA 10 NA NA NA NA 10 NA 10 NA 10 10 NA NA 10 10 10 NA 10 10 NA 10 10 NA 10 NA NA NA NA 10 NA NA 10 10 NA NA NA NA NA 10 10 NA NA 10 10 10 NA NA 10 NA NA 10 10 10 NA NA NA NA NA 10 NA 10 NA NA NA NA NA NA NA NA NA
"Fish25" 1 NA NA NA NA NA NA NA NA NA 7 7 NA NA 7 7 7 NA NA NA NA 8 8 NA 9 9 NA 10 NA 10 10 NA NA NA NA 10 10 NA 10 NA NA NA NA NA 10 NA 10 NA NA 10 NA NA NA NA NA 10 NA 9 9 NA NA 6 NA NA NA NA NA NA NA 1 1 NA NA 1 2 NA NA NA 6 NA NA NA NA NA NA NA 1 NA NA 1 NA NA 1 1 NA NA NA NA 1 NA
"Fish26" 1 NA NA 6 NA NA 6 6 6 NA 6 NA NA NA NA NA 6 NA NA NA NA NA 6 NA NA NA 7 NA NA NA 6 NA NA 6 NA NA NA NA NA NA NA NA NA 5 NA NA 6 6 NA 6 NA 6 NA NA NA NA NA NA NA NA NA 10 NA NA NA NA NA 10 NA NA 10 NA NA 10 NA NA NA NA 10 10 NA NA 10 10 10 NA NA NA NA 6 NA NA NA NA 1 NA NA NA NA 1
"Fish27" 1 3 3 NA 5 NA 6 NA NA NA NA NA NA 9 NA NA 10 NA NA 10 NA NA 10 10 NA NA NA NA 10 NA NA 10 10 NA 10 NA NA NA NA 10 8 NA NA NA NA NA 1 NA NA 5 NA NA 5 5 NA NA NA NA NA NA NA NA 10 10 NA NA 10 10 10 NA NA 10 NA 10 NA 10 10 NA NA 10 NA 10 NA NA 10 NA 10 10 NA NA NA NA NA NA NA NA 10 NA NA 10
"Fish28" 1 2 2 NA NA 5 NA NA 8 9 NA 10 10 10 10 10 NA NA NA NA NA 8 NA NA NA 3 NA NA 1 NA NA NA NA NA 1 NA NA NA NA NA NA 1 NA NA 1 NA 1 NA NA NA NA NA NA 1 NA 1 NA NA NA 1 1 1 NA NA 1 NA NA NA 1 1 NA NA 1 NA 1 NA NA NA 1 1 1 NA 1 1 NA 1 NA 1 NA NA 1 NA 1 NA 1 NA 1 NA NA NA
"Fish29" 1 1 1 NA NA NA NA NA NA 6 NA NA NA NA NA NA NA 1 NA NA 1 NA NA NA NA NA 1 NA NA 1 NA 6 NA NA NA NA NA NA 7 NA 10 NA NA NA 10 NA NA NA NA NA NA NA NA 10 10 NA 10 NA 10 NA NA 10 NA NA NA NA 10 NA NA 10 NA 10 10 NA NA 10 NA NA 10 NA NA NA 10 NA NA 10 NA NA NA NA NA NA NA NA NA 10 NA NA 10 10
"Fish30" 1 3 NA NA NA NA 9 9 9 NA NA NA NA NA NA NA 10 NA NA NA NA 10 10 10 NA NA NA NA NA NA NA NA NA NA 6 NA NA NA NA 1 1 NA NA NA NA NA 1 NA 1 NA 1 NA 1 1 NA NA NA NA 1 NA NA NA NA NA NA NA 1 1 1 NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 1 NA
"Fish31" 1 NA 2 2 NA NA NA NA 6 7 7 NA NA NA NA NA NA 9 NA 9 NA 10 NA NA NA NA NA 10 NA NA NA NA NA NA NA 10 NA NA 10 NA 10 NA NA NA NA NA 10 NA 10 NA NA NA 10 10 10 10 10 NA 10 NA NA NA NA NA 10 NA 10 NA NA 10 NA NA NA 10 10 10 NA NA NA 10 NA 10 NA NA 10 NA NA NA NA NA NA NA NA NA NA NA 10 NA NA NA
"Fish32" 1 NA NA NA NA NA NA 6 NA NA 2 NA NA NA NA NA 1 1 NA NA 1 NA NA NA NA NA 1 NA NA NA NA 1 1 1 NA 1 NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 NA NA 1 NA NA NA NA 1 NA 1 NA NA NA 1 NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 1 1 1 1 NA NA NA NA NA NA NA NA 1
"Fish33" 1 NA NA NA NA NA NA NA NA 7 NA NA NA NA NA 10 NA NA NA NA NA NA NA NA NA 10 NA 10 NA NA NA 6 NA 3 NA NA NA 7 NA NA NA NA NA 9 NA NA NA NA NA NA NA NA 9 NA NA NA NA NA 10 NA NA 10 10 NA NA 10 NA NA NA NA 10 NA NA NA NA NA NA 1 NA 1 NA NA NA NA NA NA NA 1 NA NA NA 1 NA NA 1 NA NA NA NA NA
"Fish34" 1 NA NA 3 NA NA NA NA NA NA 10 10 NA NA NA NA NA 6 3 NA NA NA 6 NA NA NA NA NA 7 NA NA 7 7 NA NA NA NA NA 7 NA NA NA 10 NA NA NA NA 10 10 NA NA NA NA 10 NA NA 10 NA 10 10 NA NA NA NA NA 10 NA NA NA NA NA 10 NA NA NA NA NA NA NA NA NA 10 NA NA 10 NA 10 NA NA NA NA 10 10 10 NA 10 10 NA NA NA
"Fish35" 1 1 NA NA NA NA NA NA NA NA NA NA 10 NA NA NA NA NA NA NA NA NA 10 10 10 NA NA NA NA NA NA NA 10 NA 10 NA 10 NA NA NA NA NA NA 10 NA 10 10 10 NA 10 NA NA NA NA NA 10 10 10 NA NA NA NA NA NA NA NA 10 NA NA NA NA NA NA NA NA NA NA 10 NA NA 10 NA NA NA NA 10 NA NA 10 NA NA NA 10 NA 9 NA 7 NA NA NA
"Fish36" 1 NA 2 NA 4 NA NA 7 NA NA NA 9 NA NA NA NA NA NA 10 NA 10 NA NA 10 10 10 NA NA NA NA NA NA 10 NA NA NA NA NA NA 10 NA NA 10 NA NA NA 10 NA 10 NA NA 10 NA 10 NA NA NA NA NA NA NA 10 NA NA NA 10 NA 10 NA NA 10 NA 10 NA NA 10 NA NA NA 10 10 10 NA 10 NA 10 NA NA 10 NA 10 NA 10 NA NA NA NA 10 NA NA
"Fish37" 1 NA 2 3 NA NA 5 NA NA NA NA NA 7 NA NA NA NA NA NA NA 7 7 7 NA 7 NA 7 NA NA NA NA 7 NA 7 NA NA NA NA 9 NA NA NA NA NA 10 NA 10 NA NA NA 10 NA 10 NA NA NA NA 10 NA 10 NA NA NA NA NA NA NA 1 1 NA 1 1 1 NA NA NA NA 1 NA 1 NA NA NA NA NA NA NA 1 1 NA NA NA NA 2 NA 5 NA 6 NA NA
"Fish38" 1 2 NA 4 NA NA NA NA 7 7 7 7 7 NA 7 NA NA NA NA NA NA 7 NA NA NA NA 7 7 7 NA NA NA 7 7 NA NA NA NA NA 7 NA NA NA NA NA 10 NA NA NA NA 10 NA 10 NA 10 NA NA NA NA NA 10 NA NA 10 NA NA 10 10 10 NA NA NA 5 NA NA NA NA NA NA NA 1 NA NA NA NA 1 NA 1 NA NA NA NA NA NA 1 NA 1 NA NA NA
"Fish39" 1 NA 5 6 NA NA NA NA NA NA 7 NA 7 NA NA 7 7 NA NA 8 NA NA NA NA NA 10 NA NA NA NA NA NA 9 9 NA 7 NA NA 5 NA NA NA NA NA NA NA NA NA 1 NA NA NA 1 NA NA NA NA NA 1 1 NA NA 1 1 1 NA NA NA 1 1 NA NA 1 NA NA NA NA NA NA 1 NA NA NA NA 1 NA 1 1 1 NA NA 1 NA NA NA NA 1 NA NA NA
"Fish40" 1 NA NA NA 5 6 6 6 6 NA NA NA NA NA 6 NA NA NA NA NA NA 6 6 NA NA 6 6 NA NA 6 NA NA NA NA 1 1 NA NA 1 1 1 NA NA NA NA 1 1 NA 1 NA NA NA NA NA NA 1 NA NA 1 NA NA 1 NA NA 1 1 NA NA NA NA NA NA NA 1 NA NA NA NA NA 1 NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"Fish41" 1 2 2 NA NA NA 7 NA NA NA NA 7 NA NA NA NA NA NA 1 1 1 NA 1 NA NA NA NA NA 1 1 NA 1 NA NA NA NA NA NA NA 1 1 NA 1 NA NA NA NA 1 NA 1 NA 1 NA 1 NA 1 NA NA NA NA 1 NA NA NA 1 1 NA NA NA NA 1 NA NA 1 NA 1 1 NA NA NA 1 1 NA NA 1 NA NA NA NA 1 NA NA NA NA NA 5 5 NA NA 6
"Fish42" 1 NA NA NA NA NA 6 7 8 NA NA NA NA NA 1 1 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1 1 NA NA 1 1 1 NA NA NA 1 NA NA NA NA 1 NA NA NA 1 1 NA NA 1 1 1 NA NA 1 1 NA NA NA 1 NA 1 NA NA NA 1 NA NA 1 NA NA NA NA NA NA 1 NA NA NA NA NA NA NA NA NA NA NA NA NA 1
"Fish43" 1 NA 3 4 5 NA 7 NA NA 7 7 NA 7 7 NA 7 NA NA 7 7 NA NA 8 NA NA 9 NA NA NA 10 NA NA NA NA NA 10 NA NA NA NA NA NA 10 10 10 NA NA NA 10 10 NA NA NA 10 10 NA 10 NA 10 NA NA NA NA NA NA NA 10 NA NA NA 10 10 10 NA 10 NA NA NA NA 10 10 10 10 NA 10 NA NA 10 NA NA 10 NA NA NA NA NA NA 3 NA 1
"Fish44" 1 NA NA NA 6 6 NA NA NA NA NA 6 NA 6 NA NA NA NA NA NA NA NA NA NA NA NA NA 7 7 NA NA NA 7 NA 7 NA NA NA 7 7 7 7 NA 7 7 7 7 NA 7 7 NA NA NA NA NA 7 6 NA NA 2 NA 2 NA NA NA 6 NA 6 NA NA NA NA NA NA 1 1 NA NA NA NA 1 NA NA NA 1 NA 1 NA 1 NA NA NA 5 NA NA NA NA NA NA 7
"Fish45" 1 NA NA 2 3 NA 7 7 7 NA NA NA 7 NA NA NA 7 NA 7 NA 8 8 NA 9 NA NA 10 10 NA 10 NA NA NA NA NA 10 10 NA NA NA NA 10 10 NA 10 NA 10 10 NA 10 NA NA NA 10 10 NA NA NA NA NA NA 10 NA NA NA 10 NA NA 10 NA 10 NA 10 NA 10 10 NA NA NA 10 NA NA 10 NA 10 NA NA NA NA NA 10 10 9 6 6 NA NA NA NA NA
"Fish46" 1 2 NA NA NA 8 NA NA NA NA 10 NA NA NA NA NA NA 10 10 10 NA 10 NA NA 10 NA NA 10 10 NA NA 10 10 10 NA NA NA NA 10 NA 10 10 NA NA NA 10 NA NA NA NA NA NA NA NA NA 10 NA NA NA 10 NA NA NA NA NA NA NA NA 10 10 10 NA 10 NA NA NA NA 10 NA NA 10 NA NA NA 10 10 10 10 NA NA NA 6 NA NA NA NA NA 1 NA NA
"Fish47" 1 4 4 5 NA NA 8 8 NA 8 NA NA NA NA NA NA 1 NA NA 1 NA NA NA 1 1 NA NA NA NA 1 1 NA NA NA NA NA NA NA 1 NA NA NA 1 1 1 NA NA 1 NA NA 1 NA NA 1 NA NA 1 1 NA NA NA NA NA 7 NA NA NA NA NA 9 9 NA 9 NA 9 NA 10 10 NA NA 10 NA NA NA NA NA 10 NA 10 NA NA NA NA NA NA NA 10 NA 10 NA
"Fish48" 1 1 NA NA NA 3 3 NA NA NA NA NA NA NA NA NA 1 NA NA NA 1 1 NA NA 1 NA 3 NA 3 3 6 NA NA NA NA NA NA 7 7 7 NA NA 7 NA NA 7 NA NA NA NA NA NA 10 10 10 10 NA NA NA NA NA NA NA NA 10 10 NA NA NA NA 10 NA NA NA NA NA NA NA NA NA 10 10 10 NA NA NA NA NA NA NA NA NA 10 10 NA NA NA NA NA 10
"Fish49" 1 2 NA NA NA NA NA NA 2 2 NA NA NA 1 1 1 NA NA 3 NA NA 2 NA NA NA NA NA NA NA 1 NA 1 NA 1 1 NA NA NA 1 NA NA NA NA NA 1 NA NA NA 3 3 3 5 NA NA NA NA NA NA NA NA NA NA 10 10 10 NA 9 9 NA NA 5 NA NA NA NA NA 1 NA NA NA NA NA NA NA NA 1 NA NA NA NA 1 NA 2 NA 3 5 NA NA NA 7
"Fish50" 1 NA NA 6 NA NA 6 6 NA 6 NA NA NA NA NA NA NA 7 NA NA 7 NA NA NA 7 NA 7 7 7 7 NA NA 7 7 NA NA NA 7 NA 7 NA 7 7 NA NA 7 NA 7 NA NA NA NA NA NA NA NA NA NA NA NA NA 6 NA NA 2 1 1 NA NA 1 NA NA 1 NA 1 1 1 1 NA NA NA NA NA NA 7 7 NA NA 7 NA 7 NA 7 NA 8 NA 9 NA NA NA
